frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
219, 0, 26.233, 0.98, 1, 83.9, -189.7, 1146.7, 0.230, -0.161, -0.035
220, 0, 26.354, 0.98, 1, 82.0, -193.4, 1149.2, 0.202, -0.157, -0.055
221, 0, 26.474, 0.98, 1, 77.0, -188.2, 1131.4, 0.214, -0.140, -0.054
222, 0, 26.594, 0.93, 1, 67.2, -182.1, 1110.7, 0.237, -0.046, -0.049
223, 0, 26.715, 0.98, 1, 44.2, -161.3, 1092.6, 0.346, 0.199, -0.106
224, 0, 26.835, 0.98, 1, 33.1, -141.4, 1075.4, 0.439, 0.238, -0.138
225, 0, 26.955, 0.98, 1, 32.7, -128.3, 1055.0, 0.516, 0.262, -0.157
226, 0, 27.076, 0.98, 1, 37.1, -125.9, 1060.7, 0.481, 0.262, -0.154
227, 0, 27.196, 0.98, 1, 41.0, -131.0, 1062.2, 0.427, 0.308, -0.078
228, 0, 27.316, 0.98, 1, 47.9, -131.9, 1064.3, 0.429, 0.316, -0.023
229, 0, 27.437, 0.77, 1, 54.1, -125.2, 1031.1, 0.499, 0.357, -0.047
230, 0, 27.557, 0.98, 1, 84.8, -141.4, 1052.3, 0.271, 0.142, 0.150
231, 0, 27.677, 0.98, 1, 79.7, -164.9, 1071.1, 0.181, 0.059, 0.100
232, 0, 27.798, 0.98, 1, 48.2, -186.0, 1084.7, 0.047, 0.003, 0.006
233, 0, 27.918, 0.88, 1, 21.2, -201.5, 1113.1, -0.061, -0.048, -0.049
234, 0, 28.039, 0.98, 1, 2.6, -216.0, 1145.5, -0.137, -0.120, -0.101
235, 0, 28.159, 0.88, 1, -3.0, -215.9, 1149.7, -0.057, -0.109, -0.067
236, 0, 28.279, 0.98, 1, 2.6, -214.6, 1123.7, -0.073, -0.368, -0.052
237, 0, 28.400, 0.03, 0, 7.0, -217.9, 1137.4, -0.123, -0.298, -0.024
238, 0, 28.520, 0.98, 1, 12.4, -212.7, 1103.0, -0.238, -0.526, -0.174
239, 0, 28.640, 0.52, 0, 11.8, -210.8, 1091.6, -0.186, -0.516, -0.166
240, 0, 28.761, 0.03, 0, 5.5, -194.0, 992.6, -0.049, -0.656, -0.172
241, 0, 28.881, 0.52, 0, 0.6, -188.4, 965.7, -0.043, -0.595, -0.242
242, 0, 29.001, 0.98, 1, -7.7, -223.1, 1152.7, -0.039, -0.338, -0.220
243, 0, 29.122, 0.47, 0, -4.0, -216.1, 1129.3, -0.101, -0.232, -0.239
244, 0, 29.242, 0.57, 0, -0.8, -232.6, 1243.7, -0.266, -0.145, -0.238
245, 0, 29.362, 0.68, 0, 4.5, -252.8, 1343.5, -0.337, -0.038, -0.307
246, 0, 29.483, 0.12, 0, 8.6, -263.7, 1396.7, -0.344, 0.052, -0.355
247, 0, 29.603, 0.98, 1, 39.1, -178.9, 1092.3, 0.173, -0.598, -0.071
248, 0, 29.723, 0.98, 1, 20.2, -170.3, 1074.8, 0.143, -0.603, -0.111
249, 0, 29.844, 0.98, 1, -10.7, -171.6, 1075.8, 0.109, -0.616, -0.177
250, 0, 29.964, 0.73, 0, -8.4, -164.9, 1030.2, 0.088, -0.578, -0.192
251, 0, 30.084, 0.12, 0, -10.2, -153.4, 925.8, 0.169, -0.711, -0.169
252, 0, 30.205, 0.82, 1, -20.1, -171.1, 976.3, 0.150, -0.465, -0.190
253, 0, 30.325, 0.98, 1, -11.3, -217.2, 1132.4, -0.022, -0.084, -0.077
254, 0, 30.445, 0.98, 1, 11.4, -214.2, 1127.0, -0.143, -0.021, -0.031
255, 0, 30.566, 0.98, 1, 13.7, -209.6, 1129.8, -0.088, 0.055, -0.032
256, 0, 30.686, 0.88, 1, 13.4, -202.8, 1142.9, -0.011, 0.078, -0.044
257, 0, 30.806, 0.98, 1, 15.0, -176.3, 1107.3, 0.280, -0.020, -0.077
258, 0, 30.927, 0.77, 1, 14.7, -168.4, 1102.6, 0.224, -0.043, -0.075
259, 0, 31.047, 0.98, 1, 41.9, -151.1, 1068.5, 0.271, -0.014, -0.150
260, 0, 31.167, 0.98, 1, 62.5, -170.0, 1066.5, 0.174, 0.038, -0.075
261, 0, 31.288, 0.88, 1, 64.6, -181.5, 1076.0, 0.162, 0.067, -0.045
262, 0, 31.408, 0.77, 1, 62.1, -185.7, 1068.2, 0.258, 0.014, -0.051
263, 0, 31.528, 0.77, 1, 57.5, -188.8, 1061.0, 0.277, -0.046, -0.058
264, 0, 31.649, 0.98, 1, 42.1, -209.3, 1097.0, -0.015, 0.082, -0.010
265, 0, 31.769, 0.98, 1, 31.9, -204.4, 1071.7, -0.051, 0.100, -0.008
266, 0, 31.889, 0.98, 1, 26.0, -201.9, 1063.3, -0.061, 0.062, -0.006
267, 0, 32.010, 0.98, 1, 23.3, -196.5, 1049.0, -0.021, 0.041, -0.012
268, 0, 32.130, 0.98, 1, 21.4, -194.5, 1043.9, -0.014, 0.039, -0.010
269, 0, 32.250, 0.98, 1, 24.6, -195.6, 1060.0, -0.023, 0.033, -0.010
270, 0, 32.371, 0.88, 1, 29.3, -195.8, 1073.2, -0.021, 0.072, 0.004
271, 0, 32.491, 0.98, 1, 35.5, -202.3, 1108.9, -0.020, 0.032, -0.013
272, 0, 32.611, 0.98, 1, 30.7, -206.3, 1127.8, 0.030, 0.041, -0.003
273, 0, 32.732, 0.98, 1, 11.3, -180.2, 1081.7, 0.185, 0.071, 0.048
